Dataset size: 112120 images.
GAN training: time elapsed = 1.71 [s] | epoch=1 | batch= [1/3503]
GAN training: time elapsed = 51.60 [s] | epoch=1 | batch= [51/3503]
GAN training: time elapsed = 101.10 [s] | epoch=1 | batch= [101/3503]
GAN training: time elapsed = 150.36 [s] | epoch=1 | batch= [151/3503]
GAN training: time elapsed = 199.46 [s] | epoch=1 | batch= [201/3503]
GAN training: time elapsed = 248.57 [s] | epoch=1 | batch= [251/3503]
GAN training: time elapsed = 297.74 [s] | epoch=1 | batch= [301/3503]
GAN training: time elapsed = 347.02 [s] | epoch=1 | batch= [351/3503]
GAN training: time elapsed = 396.30 [s] | epoch=1 | batch= [401/3503]
GAN training: time elapsed = 445.46 [s] | epoch=1 | batch= [451/3503]
GAN training: time elapsed = 494.50 [s] | epoch=1 | batch= [501/3503]
GAN training: time elapsed = 543.65 [s] | epoch=1 | batch= [551/3503]
GAN training: time elapsed = 592.99 [s] | epoch=1 | batch= [601/3503]
GAN training: time elapsed = 641.95 [s] | epoch=1 | batch= [651/3503]
GAN training: time elapsed = 690.98 [s] | epoch=1 | batch= [701/3503]
GAN training: time elapsed = 739.87 [s] | epoch=1 | batch= [751/3503]
GAN training: time elapsed = 788.74 [s] | epoch=1 | batch= [801/3503]
GAN training: time elapsed = 837.78 [s] | epoch=1 | batch= [851/3503]
GAN training: time elapsed = 887.04 [s] | epoch=1 | batch= [901/3503]
GAN training: time elapsed = 936.05 [s] | epoch=1 | batch= [951/3503]
GAN training: time elapsed = 985.09 [s] | epoch=1 | batch= [1001/3503]
GAN training: time elapsed = 1034.51 [s] | epoch=1 | batch= [1051/3503]
GAN training: time elapsed = 1083.56 [s] | epoch=1 | batch= [1101/3503]
GAN training: time elapsed = 1132.58 [s] | epoch=1 | batch= [1151/3503]
GAN training: time elapsed = 1182.04 [s] | epoch=1 | batch= [1201/3503]
GAN training: time elapsed = 1231.51 [s] | epoch=1 | batch= [1251/3503]
GAN training: time elapsed = 1280.80 [s] | epoch=1 | batch= [1301/3503]
GAN training: time elapsed = 1329.94 [s] | epoch=1 | batch= [1351/3503]
GAN training: time elapsed = 1379.33 [s] | epoch=1 | batch= [1401/3503]
GAN training: time elapsed = 1428.54 [s] | epoch=1 | batch= [1451/3503]
GAN training: time elapsed = 1477.71 [s] | epoch=1 | batch= [1501/3503]
GAN training: time elapsed = 1526.85 [s] | epoch=1 | batch= [1551/3503]
GAN training: time elapsed = 1576.03 [s] | epoch=1 | batch= [1601/3503]
GAN training: time elapsed = 1625.43 [s] | epoch=1 | batch= [1651/3503]
GAN training: time elapsed = 1674.71 [s] | epoch=1 | batch= [1701/3503]
GAN training: time elapsed = 1723.96 [s] | epoch=1 | batch= [1751/3503]
GAN training: time elapsed = 1773.44 [s] | epoch=1 | batch= [1801/3503]
GAN training: time elapsed = 1822.78 [s] | epoch=1 | batch= [1851/3503]
GAN training: time elapsed = 1871.89 [s] | epoch=1 | batch= [1901/3503]
GAN training: time elapsed = 1921.28 [s] | epoch=1 | batch= [1951/3503]
GAN training: time elapsed = 1970.71 [s] | epoch=1 | batch= [2001/3503]
GAN training: time elapsed = 2020.10 [s] | epoch=1 | batch= [2051/3503]
GAN training: time elapsed = 2069.29 [s] | epoch=1 | batch= [2101/3503]
GAN training: time elapsed = 2118.92 [s] | epoch=1 | batch= [2151/3503]
GAN training: time elapsed = 2168.30 [s] | epoch=1 | batch= [2201/3503]
GAN training: time elapsed = 2217.60 [s] | epoch=1 | batch= [2251/3503]
GAN training: time elapsed = 2267.01 [s] | epoch=1 | batch= [2301/3503]
GAN training: time elapsed = 2316.15 [s] | epoch=1 | batch= [2351/3503]
GAN training: time elapsed = 2365.41 [s] | epoch=1 | batch= [2401/3503]
GAN training: time elapsed = 2414.64 [s] | epoch=1 | batch= [2451/3503]
GAN training: time elapsed = 2463.65 [s] | epoch=1 | batch= [2501/3503]
GAN training: time elapsed = 2512.99 [s] | epoch=1 | batch= [2551/3503]
GAN training: time elapsed = 2562.02 [s] | epoch=1 | batch= [2601/3503]
GAN training: time elapsed = 2611.07 [s] | epoch=1 | batch= [2651/3503]
GAN training: time elapsed = 2660.02 [s] | epoch=1 | batch= [2701/3503]
GAN training: time elapsed = 2709.21 [s] | epoch=1 | batch= [2751/3503]
GAN training: time elapsed = 2758.47 [s] | epoch=1 | batch= [2801/3503]
GAN training: time elapsed = 2808.09 [s] | epoch=1 | batch= [2851/3503]
GAN training: time elapsed = 2858.19 [s] | epoch=1 | batch= [2901/3503]
GAN training: time elapsed = 2907.15 [s] | epoch=1 | batch= [2951/3503]
GAN training: time elapsed = 2956.70 [s] | epoch=1 | batch= [3001/3503]
GAN training: time elapsed = 3006.13 [s] | epoch=1 | batch= [3051/3503]
GAN training: time elapsed = 3055.47 [s] | epoch=1 | batch= [3101/3503]
GAN training: time elapsed = 3104.75 [s] | epoch=1 | batch= [3151/3503]
GAN training: time elapsed = 3154.01 [s] | epoch=1 | batch= [3201/3503]
GAN training: time elapsed = 3203.40 [s] | epoch=1 | batch= [3251/3503]
GAN training: time elapsed = 3252.50 [s] | epoch=1 | batch= [3301/3503]
GAN training: time elapsed = 3302.02 [s] | epoch=1 | batch= [3351/3503]
GAN training: time elapsed = 3351.53 [s] | epoch=1 | batch= [3401/3503]
GAN training: time elapsed = 3400.64 [s] | epoch=1 | batch= [3451/3503]
GAN training: time elapsed = 3449.98 [s] | epoch=1 | batch= [3501/3503]
GAN training: time elapsed = 3453.46 [s] | epoch=2 | batch= [1/3503]
GAN training: time elapsed = 3503.76 [s] | epoch=2 | batch= [51/3503]
